Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
01-Oct-24,Tuesday,October,Q4,2024,EQ,2961.30,2975.90,2925.65,2953.15,2927.00,2929.65,2938.60,3217.60,2220.30,8215821.00,330546.00
30-Sep-24,Monday,September,Q3,2024,EQ,3038.80,3049.95,2948.80,3052.35,2958.00,2953.15,2977.44,3217.60,2220.30,13504407.00,431656.00
27-Sep-24,Friday,September,Q3,2024,EQ,2998.00,3066.95,2984.00,2995.90,3047.05,3052.35,3024.87,3217.60,2220.30,10298739.00,328612.00
26-Sep-24,Thursday,September,Q3,2024,EQ,2981.30,3008.00,2976.10,2987.90,3008.00,2995.90,2994.82,3217.60,2220.30,9409499.00,259792.00
25-Sep-24,Wednesday,September,Q3,2024,EQ,2967.80,2993.00,2960.40,2978.75,2988.05,2987.90,2976.46,3217.60,2220.30,3534501.00,154120.00
24-Sep-24,Tuesday,September,Q3,2024,EQ,2977.00,3001.00,2975.75,2986.75,2980.50,2978.75,2986.14,3217.60,2220.30,8568722.00,201586.00
23-Sep-24,Monday,September,Q3,2024,EQ,2982.00,3003.00,2977.90,2971.85,2985.00,2986.75,2990.93,3217.60,2220.30,4416157.00,146805.00
20-Sep-24,Friday,September,Q3,2024,EQ,2948.00,2990.00,2942.75,2939.35,2972.10,2971.85,2970.54,3217.60,2220.30,15448660.00,379677.00
19-Sep-24,Thursday,September,Q3,2024,EQ,2932.50,2953.00,2911.10,2926.90,2940.00,2939.35,2934.14,3217.60,2220.30,8477951.00,259931.00
18-Sep-24,Wednesday,September,Q3,2024,EQ,2940.00,2964.00,2921.10,2944.60,2923.00,2926.90,2939.96,3217.60,2220.30,4287357.00,179852.00
17-Sep-24,Tuesday,September,Q3,2024,EQ,2948.00,2954.95,2933.25,2942.70,2945.00,2944.60,2943.09,3217.60,2220.30,2967664.00,148458.00
